A1,A2Colonia,A3,A4Equipo,A5,A6Colonia IP Fija,A7,A8Equipo,A9,A10Rosario,A11,A12Equipo,A13,A14Nueva Helvecia,A15,A16Equipo,A17,A18,A19Carmelo,A20,A21Equipo,A22,A23Tarariras,A24,A25Equipo,A26,A27Nueva Palmira Planta externa,A28,A29Equipo,A30,A31Juan Lacaze,A32,A33Equipo,A34,A35Provisorio Juan Lacaze,A36,A37Equipo,A38,A39Colonia Valdense,A40,A41Equipo,A42,A43Colonia Valdense Comercial,A44,A45Equipo,A46,A47Conchillas Viejo,A48,A49Equipo,A50,A51Ombues de Lavalle,A52,A53Equipo,A54,A55Supermercado Caso Nelson,A56,A57Equipo,A58,A59Puerto Colonia,A60,A61Equipo,A62,A63Conchillas,A64,A65Equipo,A66,A67Nueva Palmira,A68,A69Equipo,A70,A71Nueva Helvecia Centro Comerical (BPS),A72,A73Equipo
,,119,,,,119,,,,119,,,,119,,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,
,,120,,,,120,,,,120,,,,120,,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,
,,121,,,,121,,,,121,,,,121,,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,
,,122,L0101618,,,122,,,,122,,,,122,,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,
,,123,,,,123,,,,123,,,,123,,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,
,,124,,,,124,,,,124,,,,124,,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,
,,125,,,,125,,,,125,,,,125,,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,
,,126,,,,126,,,,126,,,,126,,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,
,,127,,,,127,,,,127,,,,127,,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,
,,128,,,,128,,,,128,,,,128,,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,
,,129,,,,129,,,,129,,,,129,,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,
,,130,,,,130,,,,130,,,,130,,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,
,,131,,,,131,,,,131,,,,131,,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,
,,132,,,,132,,,,132,,,,132,,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,
,,133,,,,133,,,,133,,,,133,,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,
,,134,,,,134,,,,134,,,,134,,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,
,,135,,,,135,,,,135,,,,135,,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,
,,136,,,,136,,,,136,,,,136,,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,
,,137,,,,137,,,,137,,,,137,,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,
,,138,,,,138,,,,138,,,,138,,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,
,,139,,,,139,,,,139,,,,139,,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,
,,140,,,,140,,,,140,,,,140,,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,
,,141,,,,141,,,,141,,,,141,,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,
,,142,,,,142,,,,142,,,,142,,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,
,,143,,,,143,,,,143,,,,143,,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,
,,144,,,,144,,,,144,,,,144,,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,
,,145,,,,145,,,,145,,,,145,,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,
,,146,,,,146,,,,146,,,,146,,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,
,,147,,,,147,,,,147,,,,147,,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,
,,148,,,,148,,,,148,,,,148,,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,
,,149,,,,149,,,,149,,,,149,,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,
,,150,,,,150,,,,150,,,,150,,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,
,,151,,,,151,,,,151,,,,151,,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,
,,152,,,,152,,,,152,,,,152,,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,
,,153,,,,153,,,,153,,,,153,,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,
,,154,,,,154,,,,154,,,,154,,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,
,,155,,,,155,,,,155,,,,155,,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,
,,156,,,,156,,,,156,,,,156,,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,
,,157,,,,157,,,,157,,,,157,,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,
,,158,,,,158,,,,158,,,,158,,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,
,,159,,,,159,,,,159,,,,159,,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,
,,160,,,,160,,,,160,,,,160,,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,
,,161,,,,161,,,,161,,,,161,,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,
,,162,,,,162,,,,162,,,,162,,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,
,,163,,,,163,,,,163,,,,163,,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,
,,164,,,,164,,,,164,,,,164,,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,
,,165,,,,165,,,,165,,,,165,,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,
,,166,,,,166,,,,166,,,,166,,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,
,,167,,,,167,,,,167,,,,167,,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,
,,168,,,,168,,,,168,,,,168,,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,
,,169,,,,169,,,,169,,,,169,,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,
,,170,,,,170,,,,170,,,,170,,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,
,,171,,,,171,,,,171,,,,171,,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,
,,172,,,,172,,,,172,,,,172,,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,
,,173,,,,173,,,,173,,,,173,,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,
,,174,,,,174,,,,174,,,,174,,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,
,,175,,,,175,,,,175,,,,175,,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,
,,176,,,,176,,,,176,,,,176,,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,
,,177,,,,177,,,,177,,,,177,,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,
,,178,,,,178,,,,178,,,,178,,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,
,,179,,,,179,,,,179,,,,179,,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,
,,180,,,,180,,,,180,,,,180,,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,
,,181,,,,181,,,,181,,,,181,,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,
,,182,,,,182,,,,182,,,,182,,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,
,,183,,,,183,,,,183,,,,183,,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,
,,184,,,,184,,,,184,,,,184,,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,
,,185,,,,185,,,,185,,,,185,,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,
,,186,,,,186,,,,186,,,,186,,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,
,,187,,,,187,,,,187,,,,187,,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,
,,188,,,,188,,,,188,,,,188,,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,
,,189,,,,189,,,,189,,,,189,,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,
,,190,L0150019,,,190,,,,190,L1150032,,,190,,,,,190,Ocupada,L2150031,,190,,,,190,,,,190,,,,190,,,,190,,,,190,,,,190,,,,190,,,,190,,,,190,LB150066,,,190,,,,190,,,,190,
,,191,,,,191,,,,191,,,,191,,,,,191,ocupada,L2107175,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,
,,192,,,,192,,,,192,,,,192,,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,
,,193,L0190653,,,193,,,,193,L1190885,,,193,,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,
,,194,L0190648,,,194,,,,194,,,,194,,,,,194,,,,194,Ocupada,L3104253,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,
,,195,L0190503,,,195,,,,195,L1190467,,,195,,,,,195,Ocupada,L2190507,,195,Ocupada,L3190150,,195,,,,195,,,,195,,,,195,L8190428,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,
,,196,L0190508,,,196,,,,196,,,,196,,,,,196,Ocupada,L2190530,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,
,,197,L0190678,,,197,,,,197,,,,197,,,,,197,Ocupada,L2190548,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,
,,198,L0190655,,,198,,,,198,,,,198,,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,
,,199,Reservada,,,199,,,,199,L1190468,,,199,Reservada,,,,199,Reservada,,,199,Reservada,,,199,Reservada,,,199,Reservada,,,199,,,,199,Reservada,,,199,,,,199,Reservada,,,199,Reservada,,,199,Reservada,,,199,Reservada,,,199,Reservada,,,199,Reservada,,,199,
,,200,,,,200,,,,200,,,,200,,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,
,,201,L0160014,,,201,,,,201,L1103962,,,201,Ocupada,L4101230,,,201,Ocupada,L2101015,,201,Ocupada,L3101228,,201,,,,201,Libre,,,201,LD904231,,,201,Liberada,,,201,LB901807,,,201,L9105147,,,201,L5101229,,,201,LA180344,,,201,LB105606,,,201,ocupada,LD005147,,201,LC001172,,,201,Libre
,,202,L0100515,,,202,,,,202,L1160015,,,202,Ocupada,L4104230,,,202,Ocupada,L2101226,,202,Ocupada,L3105148,,202,,,,202,Libre,,,202,LD901140,,,202,Liberada,,,202,LB905150,,,202,ocupada,,,202,L5105761,,,202,,,,202,LB105609,,,202,ocupada,LD006814,,202,LC004230,,,202,Libre
,,203,L0100516,,,203,,,,203,L1103963,,,203,Liberada,,,,203,ocupada,L2106006,,203,Ocupada,L3106537,,203,Ocupada,L6104540,,203,L7105013,,,203,,,,203,Liberada,,,203,LB901231,,,203,,,,203,,,,203,,,,203,Liberada,,,203,,,,203,LC002235,,,203,Libre
,,204,L0100517,,,204,,,,204,L1104182,,,204,Liberada,,,,204,Ocupada,L2160016,,204,Ocupada,L3100851,,204,,,,204,L7107384,,,204,,,,204,L8108041,,,204,LB906623,,,204,,,,204,,,,204,,,,204,,,,204,,,,204,LC001097,,,204,Libre
,,205,L0101144,,,205,,,,205,L1104210,,,205,Ocupada,L4104538,,,205,Ocupada,L2103581,,205,Ocupada,L3108451,,205,,,,205,Libre,,,205,,,,205,,,,205,,,,205,,,,205,L5105149,,,205,,,,205,,,,205,,,,205,LC006900,,,205,Libre
,,206,L0102458,,,206,,,,206,L1104228,,,206,Liberada,,,,206,Ocupada,L2103974,,206,,,,206,,,,206,,,,206,,,,206,,,,206,,,,206,,,,206,ocupada,L5106463,,206,,,,206,,,,206,,,,206,LC008064,,,206,Libre
,,207,L0100514,,,207,,,,207,L1104311,,,207,Liberada,,,,207,Ocupada,L1106866,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,LC008065,,,207,
,,208,L0103787,,,208,,,,208,L1104533,,,208,,,,,208,Ocupada,L2104096,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,
,,209,L0103959,,,209,,,,209,L1100778,,,209,,,,,209,Ocupada,L2104232,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,
,,210,L0103960,,,210,,,,210,L1100651,,,210,,,,,210,Ocupada,L2104539,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,
,,211,L0103961,,,211,,,,211,L1105396,,,211,,,,,211,Ocupada,L2105223,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,
,,212,L0104227,,,212,,,,212,L1105455,,,212,,,,,212,Ocupada,L2105387,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,
,,213,L0104512,,,213,,,,213,LIBERADA,,,213,,,,,213,Ocupada,L2105581,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,
,,214,L0104532,,,214,,,,214,LIBERADA,,,214,,,,,214,Ocupada,L2105681,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,
,,215,L0104787,Liberada,,215,,,,215,L1106396,,,215,,,,,215,Ocupada,L2105683,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,
,,216,L0105072,,,216,,,,216,L1106732,,,216,,,,,216,ocupada,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,
,,217,L0101376,,,217,,,,217,LIBERADA,,,217,,,,,217,Ocupada,L2108106,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,
,,218,L0106132,,,218,,,,218,ocupada,,,218,,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,
,,219,L0105623,,,219,,,,219,L1106954,,,219,,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,
,,220,L0106552,,,220,,,,220,,,,220,,,,,220,Ocupada,L2102473,,220,,,,220,,,,220,,,,220,,,,220,L0102467,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,
,,221,L0106622,,,221,,,,221,,,,221,,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,
,,222,L0106630,,,222,,,,222,,,,222,,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,
,,223,liberada,,,223,,,,223,,,,223,,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,
,,224,L0106754,,,224,,,,224,,,,224,,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,
,,225,L0106755,,,225,,,,225,,,,225,,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,
,,226,L0107550,,,226,,,,226,Camara IP,,,226,Camara IP,,,,226,Camara IP,,,226,Camara IP,,,226,,,,226,Camara IP,,,226,,,,226,,,,226,Camara IP,,,226,,,,226,Camara IP,,,226,,,,226,,,,226,CamaraIP,,,226,Camara IP,,,226,
,,227,L0108085,,,227,,,,227,Camara IP,,,227,Camara IP,,,,227,Camara IP,,,227,Camara IP,,,227,,,,227,Camara IP,,,227,,,,227,,,,227,Camara IP,,,227,,,,227,Camara IP,,,227,,,,227,,,,227,CamaraIP,,,227,Camara IP,,,227,
,,228,L0108405,,,228,,,,228,Camara IP,,,228,Camara IP,,,,228,Camara IP,,,228,Camara IP,,,228,,,,228,Camara IP,,,228,,,,228,,,,228,Camara IP,,,228,,,,228,Camara IP,,,228,,,,228,,,,228,CamaraIP,,,228,Camara IP,,,228,
,,229,L0105739,,,229,,,,229,Camara IP,,,229,Camara IP,,,,229,Camara IP,,,229,Camara IP,,,229,,,,229,Camara IP,,,229,,,,229,,,,229,Camara IP,,,229,,,,229,Camara IP,,,229,,,,229,,,,229,CamaraIP,,,229,Camara IP,,,229,
,,230,Camara IP,,,230,,,,230,Camara IP,,,230,Camara IP,,,,230,Camara IP,,,230,Camara IP,,,230,,,,230,Camara IP,,,230,,,,230,,,,230,Camara IP,,,230,,,,230,Camara IP,,,230,,,,230,,,,230,CamaraIP,,,230,Camara IP,,,230,
,,231,Camara IP,,,231,,,,231,Camara IP,,,231,Camara IP,,,,231,Camara IP,,,231,Camara IP,,,231,,,,231,Camara IP,,,231,,,,231,,,,231,Camara IP,,,231,,,,231,Camara IP,,,231,,,,231,,,,231,CamaraIP,,,231,Camara IP,,,231,
,,232,Camara IP,,,232,,,,232,Camara IP,,,232,Camara IP,,,,232,Camara IP,,,232,,,,232,,,,232,Camara IP,,,232,,,,232,,,,232,Camara IP,,,232,,,,232,Camara IP,,,232,,,,232,,,,232,,,,232,Camara IP,,,232,
,,233,Camara IP,,,233,,,,233,Camara IP,,,233,Camara IP,,,,233,Camara IP,,,233,,,,233,,,,233,Camara IP,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,Camara IP,,,233,
,,234,Camara IP,,,234,,,,234,Camara IP,,,234,Camara IP,,,,234,Camara IP,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,
,,235,Camara IP,,,235,,,,235,,,,235,,,,,235,Camara IP,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,
,,236,Camara IP,,,236,,,,236,,,,236,,,,,236,Camara IP,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,
,,237,Camara IP,,,237,,,,237,,,,237,,,,,237,Camara IP,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,
,,238,Camara IP,,,238,,,,238,,,,238,,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,
,,239,Camara IP,,,239,,,,239,,,,239,,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,
,,240,L0161082,,,240,,,,240,L1161295,,,240,,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,
,,241,L0161162,,,241,,,,241,L1161401,,,241,,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,
,,242,L0161283,,,242,,,,242,Ocupada?,,,242,,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,
,,243,L0161287,,,243,,,,243,,,,243,,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,
,,244,L0161661,,,244,,,,244,,,,244,,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,
,,245,Camara IP,,,245,,,,245,,,,245,,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,
,,246,,,,246,,,,246,,,,246,,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,
,,247,,,,247,,,,247,,,,247,,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,
,,248,,,,248,,,,248,,,,248,,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,
,,249,,,,249,,,,249,,,,249,,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,
,,250,,,,250,,,,250,,,,250,,,,,250,,,,250,,,,250,,,,250,NVR,,,250,,,,250,,,,250,NVR,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,NVR,,,250,
,,251,,,,251,,,,251,,,,251,,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,
,,252,,,,252,,,,252,,,,252,,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,
,,253,POS,,,253,,,,253,,,,253,,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,POS,,,253,,,,253,,,,253,
