A1,A2Atlantida,A3,A4Equipo,A5,A6Canelones,A7,A8Equipo,A9,A10Santa Lucia,A11,A12Equipo,A13,A14San Jose de Carrasco / Shangrila,A15,A16Equipo,A17,A18Toledo,A19,A20Equipo,A21,A22Pando,A23,A24Equipo,A25,A26Las Piedras,A27,A28Equipo,A29,A30,A31Backofice San Jose de Carrasco/Lagomar 2,A32,A33Equipo,A34,A35La Paz,A36,A37Equipo,A38,A39Salinas,A40,A41Equipo,A42,A43Sala Lumiere,A44,A45Equipo,A46,A47San Ramon,A48,A49Equipo,A50,A51Tala,A52,A53Equipo,A54,A55Migues,A56,A57Equipo,A58,A59Progreso,A60,A61Equipo,A62,A63Parque del Plata,A64,A65Equipo,A66,A67La Floresta,A68,A69Equipo,A70,A71Soca,A72,A73Equipo,A74,A75Los Titanes,A76,A77Equipo,A78,A79San Luis,A80,A81Equipo,A82,A83Cuchilla Alta,A84,A85Equipo,A86,A87Santa Teresita,A88,A89Equipo,A90,A91Empalme Olmos,A92,A93Equipo,A94,A95San Jacinto,A96,A97Equipo,A98,A99Solymar,A100,A101Equipo,A102,A103Joanico,A104,A105Equipo,A106,A107Los Cerrillos,A108,A109Equipo,A110,A111Santa Rosa,A112,A113Equipo,A114,A115Sauce,A116,A117Equipo,A118<,A119Centro Civico (Shopping Costa Urbana),A120,A121Equipo,A122,A123Tienda Shopping Costa Urbana,A124,A125Equipo,A126,A127Central Salinas,A128,A129Equipo,A130,A131El Pinar,A132,A133Equipo,A134,A135San Jacinto,A136,A137Equipo,A138,A139Datacenter Pando,A140,A141Equipo,A142,A143San Bautista,A144,A145Equipo,A146,A147Shopping Las Piedras,A148,A149Equipo,A150,A151Barros Blancos,A152,A153Equipo
RANGO SNA Basico,,38,Ocupada,A2180444,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,,38,A5280002,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,AF162186,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,,,,38,
RANGO SNA Basico,,39,Ocupada,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,,39,A5200102,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,,,,39,
RANGO SNA Basico,,40,A2181107,,,40,A0102919,,,40,,,,40,A3180262,,,40,,,,40,,,,40,,,,,40,A5280362,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,AF162215,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,,,,40,
RANGO SNA Basico,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,AF162217,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,,,,41,
RANGO SNA Basico,,42,,,,42,,,,42,AD180213,,,42,,,,42,AA180151,,,42,A1101489,,,42,Ocupada,A4180468,,,42,A5280349,,,42,A9180256,,,42,AE180547,,,42,,,,42,A7180475,,,42,A6180354,,,42,AB180195,,,42,,,,42,,,,42,,,,42,,,,42,,,,42,,,,42,,,,42,,,,42,,,,42,,,,42,,,,42,,,,42,,,,42,ocupado,,,42,,,,42,,,,42,,,,42,,,,42,,,,42,,,,42,,,,42,,,,42,,,,42,
RANGO SNA Basico,,43,Ocupada,A2180535,,43,,,,43,AD180497,,,43,A3103350,,,43,,,,43,,,,43,,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,,,,43,
RANGO SNA Basico,,44,Ocupada,A2180100,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,,44,LIBERADA,,,44,A9180257,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,,,,44,
RANGO SNA Basico,,45,Ocupada,A2180113,,45,A0100765,,,45,,,,45,,,,45,,,,45,A1180222,,,45,,,,,45,A5280510,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,,,,45,
RANGO SNA Basico,,46,,,,46,A0180465,,,46,,,,46,,,,46,,,,46,,,,46,,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,,,,46,
RANGO SNA Basico,,47,Ocupada,A2101429,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,,,,47,
RANGO SNA Basico,,48,,,,48,A0180111,,,48,,,,48,,,,48,,,,48,A1180084,,,48,,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,,,,48,
RANGO SNA Basico,,49,Liberada,A2101133,,49,A0100768,,,49,,,,49,,,,49,,,,49,A1102414,,,49,,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,,,,49,
RANGO SNA Basico,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,,50,Liberada,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,,,,50,
RANGO SNA Basico,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,,,,51,
RANGO SNA Basico,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,,,,52,
RANGO SNA Basico,,53,,,,53,A0100766,,,53,,,,53,,,,53,,,,53,,,,53,,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,,,,53,
RANGO SNA Basico,,54,,,,54,A0100767,,,54,,,,54,,,,54,,,,54,A1100481,,,54,,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,,,,54,
RANGO SNA Basico,,55,,,,55,A0101460,,,55,,,,55,,,,55,,,,55,A1180367,,,55,,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,,,,55,
RANGO SNA Basico,,56,,,,56,A0102032,,,56,,,,56,,,,56,,,,56,A1100643,,,56,,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,,,,56,
RANGO SNA Basico,,57,,,,57,A0180403,,,57,,,,57,,,,57,,,,57,,,,57,,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,,,,57,
RANGO SNA Basico,,58,,,,58,A0102033,,,58,,,,58,,,,58,,,,58,A1180539,,,58,,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,,,,58,
RANGO SNA Basico,,59,,,,59,A0180165,,,59,,,,59,,,,59,,,,59,,,,59,,,,,59,,,,59,,,,59,,,,59,Ocupada,A1980492,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,,,,59,
RANGO SNA Basico,,60,,,,60,A0101148,,,60,,,,60,,,,60,,,,60,A1103349,,,60,,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,,,,60,
RANGO SNA Basico,,61,,,,61,A0100909,,,61,,,,61,,,,61,,,,61,A1180159,,,61,,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,,,,61,
RANGO SNA Basico,,62,,,,62,A0162203,imp térmica,,62,,,,62,,,,62,,,,62,A1180041,,,62,,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,,,,62,
RANGO SNA Basico,,63,,,,63,A0162204,imp térmica,,63,,,,63,,,,63,,,,63,,,,63,,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,,,,63,
RANGO SNA Basico,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,,,,64,
RANGO SNA Basico,,65,,,,65,,,,65,,,,65,,,,65,,,,65,A1180302,,,65,,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,,,,65,
RANGO SNA Basico,,66,,,,66,,,,66,,,,66,,,,66,,,,66,A1101638,,,66,,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,,,,66,
RANGO SNA Basico,,67,Ocupada,A2170022 ,,67,A0170004 ,,,67,,,,67,,,,67,AA170011 ,,,67,A1170010 ,,,67,Ocupada,A4170007 ,,,67,A5270025 ,,,67,A9170008 ,,,67,AE170015 ,,,67,,,,67,A7170006 ,,,67,A6170005 ,,,67,AB170012 ,,,67,A6970019 ,,,67,A3970016 ,,,67,A2970003 ,,,67,AB970024 ,,,67,AD970001 ,,,67,AE970002 ,,,67,A9970021 ,,,67,A7970013 ,,,67,A5970018 ,,,67,AA970023 ,,,67,A8970020 ,,,67,AC170026 ,,,67,AC970027 ,,,67,A8170009 ,,,67,,,,67,AF170157,,,67,,,,67,,,,67,,,,67,,,,67,,,,67,,,,67,,,,67,
,,68,,,,68,A0180085,,,68,,,,68,,,,68,,,,68,,,,68,Ocupada,A4180167,,,68,,,,68,,,,68,,,,68,Ocupada,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,,,,68,
,,69,,,,69,A0103347,,,69,,,,69,,,,69,,,,69,,,,69,Ocupada,A4180168,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,,,,69,
,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,Ocupada,A4180477,,,70,Portero,,,70,,,,70,,,,70,Ocupada,A1970136,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,Chipera,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,,,,70,
,,71,,,,71,A0180568,,,71,,,,71,,,,71,,,,71,,,,71,Ocupada,A4180387,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,,,,71,
,,72,,,,72,A0180601,,,72,,,,72,,,,72,,,,72,,,,72,Ocupada,A4102140,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,,,,72,
,,73,,,,73,,,,73,,,,73,,,,73,,,,73,A2180433,,,73,Ocupada,A4102141,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,,,,73,
,,74,,,,74,,,,74,,,,74,,,,74,,,,74,A1180513,,,74,Ocupada,A4102136,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,,,,74,
,,75,,,,75,,,,75,,,,75,,,,75,,,,75,A1102221,,,75,Ocupada,A4101742,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,,,,75,
,,76,,,,76,,,,76,,,,76,,,,76,,,,76,A1180110,,,76,Ocupada,A4102127,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,,,,76,
,,77,,,,77,,,,77,,,,77,,,,77,,,,77,A1104023,,,77,Ocupada,A4102134,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,,,,77,
,,78,,,,78,,,,78,,,,78,,,,78,,,,78,A1104022,,,78,,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,,,,78,
,,79,,,,79,,,,79,,,,79,A3102636,,,79,,,,79,A1180077,,,79,,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,,,,79,
,,80,,,,80,U8R69060,,,80,,,,80,,,,80,,,,80,,,,80,Ocupada,A4180270,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,,,,80,
,,81,,,,81,CA,,,81,,,,81,,,,81,,,,81,A1104027,,,81,Ocupada,A4102137,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,,,,81,
,,82,,,,82,,,,82,,,,82,,,,82,,,,82,A1103795,,,82,Ocupada,A4102527,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,,,,82,
,,83,,,,83,,,,83,,,,83,,,,83,,,,83,A1180544,,,83,Ocupada,A4102131,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,,,,83,
,,84,,,,84,,,,84,,,,84,,,,84,,,,84,A1180719,,,84,Ocupada,A4102142,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,,,,84,
,,85,,,,85,,,,85,,,,85,,,,85,,,,85,A1180722,,,85,Ocupada,A4102129,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,,,,85,
,,86,,,,86,,,,86,,,,86,,,,86,,,,86,A1181142,,,86,Ocupada,A4180470,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,,,,86,
,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,,,,87,
,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,Ocupada,A4102130,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,,,,88,
,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,Ocupada,A4180490,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,,,,89,
,,90,RELOJ,,,90,RELOJ,,,90,RELOJ,,,90,RELOJ,,,90,RELOJ,Reloj,,90,,,,90,Ocupada,A4102138,,,90,RELOJ,,,90,Reloj,,,90,RELOJ,,,90,Reservado,Reloj,,90,Reservado,Reloj,,90,Reloj,,,90,Reservado,Reloj,,90,RELOJ,,,90,Reloj,,,90,Reservado,Reloj,,90,RELOJ,,,90,RELOJ,,,90,Reservado,Reloj,,90,Reservado,Reloj,,90,RELOJ,,,90,RELOJ,,,90,Reloj,,,90,Reservado,Reloj,,90,Reservado,Reloj,,90,Reservado,Reloj,,90,Reservado,Reloj,,90,RELOJ,,,90,RELOJ,Centro Civico,,90,,Reloj,,90,Reservado,Reloj,,90,RELOJ,,,90,RELOJ,,,90,RELOJ,,,90,RELOJ,,,90,RELOJ,,,90,RELOJ
,,91,Reservado Reloj,,,91,,,,91,RELOJ PE,,,91,Reservado 2do Reloj,,,91,,,,91,,,,91,Ocupada,A4102139,,,91,Reservado 2do Reloj,,,91,Reservado 2do Reloj,,,91,Reservado 2do Reloj,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,RELOJ,Tienda,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,,,,91,
,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,Ocupada,A4102128,,,92,Portero IP,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,,,,92,
,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,Ocupada,A4102135,,,93,Camara Sala de Señales,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,,,,93,
,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,Ocupada,A4102132,,,94,Control de Acceso Sala de señales,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,,,,94,
,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,Ocupada,A4180379,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,,,,95,
,,96,,,,96,A0180166,,,96,,,,96,,,,96,,,,96,,,,96,,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,,,,96,
,,97,,,,97,A0102172,,,97,,,,97,,,,97,,,,97,,,,97,Ocupada,A4101632,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,,,,97,
,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,,,,98,
